CallId;CallReceiveTone;CallType;Name
2046057;off;private;PA4JAN Jan
2041047;off;private;PA4JV Jack
2047078;off;private;PA4NL Jasper
2046128;off;private;PA4SB Sander
2047175;off;private;PA4UNX Rudi
2042311;off;private;PA4W Wim
2041177;off;private;PA4WIM Wim
2046113;off;private;PA5ABR Bert
2041058;off;private;PA5BM Bert
2047028;off;private;PA5CC Co
2046087;off;private;PA5DOF Dave
2048133;off;private;PA5DS Dick
2047186;off;private;PA5G George
2047161;off;private;PA5HF Frank
2047173;off;private;PA5HR Herbert
2042085;off;private;PA5K Kees
2048137;off;private;PA5MH Marco
2043078;off;private;PA5MN Mario
2047162;off;private;PA5PS Peter
2048094;off;private;PA5RR Richard
2046130;off;private;PA5RS Rene
2041219;off;private;PA5TA Sven
2043059;off;private;PA5TIG Johan
2046122;off;private;PA5VK Henk
2041167;off;private;PA5WIL Wil
2042296;off;private;PA7AM Kees
2048084;off;private;PA7AVS Allart
2048077;off;private;PA7D Douwe
2046171;off;private;PA7DTC Gerben
2044003;off;private;PA7DVM Duncan
2046121;off;private;PA7HT Henk
2042015;off;private;PA7J Jan
2042112;off;private;PA7J. Jan
2045075;off;private;PA7JWC Jan-Wille
2043042;off;private;PA7LIM David
2042023;off;private;PA7M Henk
2042116;off;private;PA7MB Marcel
2043011;off;private;PA7ML Michel
2041069;off;private;PA7O Jan
2043100;off;private;PA7PF Peter
2042158;off;private;PA7PTT Jan
2047164;off;private;PA7RAY Raymond
2042220;off;private;PA7RL Ronald
2046167;off;private;PA7SL Jef
2041199;off;private;PA7ST Sudira
2042197;off;private;PA7WP Coert
2044084;off;private;PA7YL Mirjam
2045129;off;private;PA8AA Peter
2042242;off;private;PA8F Fred
2046125;off;private;PA9BT Erik
2047180;off;private;PA9CC Herman
2042232;off;private;PA9F Gert
2041133;off;private;PA9G Gerald
2042008;off;private;PA9KM Martijn
2046156;off;private;PA9W Willem
2048127;off;private;PB0AHP Ada
2042203;off;private;PB0AHX Herman
2045070;off;private;PB0P Bert
2041209;off;private;PB1A Anne
2044050;off;private;PB1SAM Pascal
2047183;off;private;PB1WB Willy
2045076;off;private;PB2A Johan
2043142;off;private;PB2GT Werner
2045163;off;private;PB4DX Gerard
2047187;off;private;PB4W Hans
2042124;off;private;PB5W Wil
2048070;off;private;PB8W Willem
2043086;off;private;PC0NUL Jos
2044131;off;private;PC1L Leon
2045017;off;private;PC1X John
2048113;off;private;PC2EBE Ebe
2043113;off;private;PC2J Jaap
2047080;off;private;PC2KY Henry
2045152;off;private;PC2X Kees
2043045;off;private;PC3D Dennis
2043040;off;private;PC3M Peter
2044102;off;private;PC4C Menno
2044124;off;private;PC4D Davey
2044004;off;private;PC4W Jack
2042198;off;private;PC5R Ruud
2044062;off;private;PC9DB Mark
2047060;off;private;PC9F Hans
2047037;off;private;PD0AC Hans
2044048;off;private;PD0ACZ Assia
2048019;off;private;PD0ADC Auk
2042252;off;private;PD0ADL Theo
2047051;off;private;PD0AGS Ed
2043117;off;private;PD0AH Andre
2041103;off;private;PD0AHE Hans
2048154;off;private;PD0AM Peter
2047095;off;private;PD0AVE Arthur
2041045;off;private;PD0BAK John
2041064;off;private;PD0BAK. John
2041026;off;private;PD0BEL Bob
2044078;off;private;PD0BLR Wim
2042016;off;private;PD0BM Ben
2044133;off;private;PD0BVD Bram
2042117;off;private;PD0CBL Cor
2043129;off;private;PD0CCV Henk
2041121;off;private;PD0CM Dennis
2042225;off;private;PD0CQ Pierre
2042146;off;private;PD0D Daan
2045112;off;private;PD0DIB Rob
2045120;off;private;PD0DIB. Rob
2042046;off;private;PD0DNL Joop
2041183;off;private;PD0DVB Robbert
2044047;off;private;PD0EJN Rene
2044035;off;private;PD0FEB Dirk
2048086;off;private;PD0FGQ Peter
2043097;off;private;PD0G Gerton
2046032;off;private;PD0GHF Cor
2046051;off;private;PD0GHF. Cor
2044056;off;private;PD0GHV Gerard
2047098;off;private;PD0GJH Gerard
2043115;off;private;PD0GJK Gert-Jan
2048010;off;private;PD0HA Harry
2044017;off;private;PD0HBS Harm
2046058;off;private;PD0HCV Gert
2047042;off;private;PD0HF Herman
2048023;off;private;PD0HIF Jannie
2041169;off;private;PD0HKS Roel
2041148;off;private;PD0HNO Roelof
2041164;off;private;PD0HOF Milan
2046053;off;private;PD0HRY Eelco
2048179;off;private;PD0HVN Herman
2047144;off;private;PD0HWN Dick
2042317;off;private;PD0ILD Johannes
2041018;off;private;PD0JB Jos
2042264;off;private;PD0JBL Peppo
2047137;off;private;PD0JDF Danny
2043085;off;private;PD0JEW Gerard
2042282;off;private;PD0JH John
2048072;off;private;PD0JL Jan
2041034;off;private;PD0JMB Michel
2041166;off;private;PD0JMG Willem
2048139;off;private;PD0JMO Ton
2042257;off;private;PD0JSQ Jean
2042018;off;private;PD0KDF Ron
2048011;off;private;PD0KDN Simon
2046061;off;private;PD0KHN Martin
2042305;off;private;PD0KKV Joop
2042136;off;private;PD0KNJ Ronald
2041214;off;private;PD0KOT Mario
2048103;off;private;PD0KV Klaas
2042284;off;private;PD0KVE Koos
2048095;off;private;PD0LDX Klaas
2045042;off;private;PD0LEX Alex
2043107;off;private;PD0LH Lieuwe
2043075;off;private;PD0LJZ Martin
2042288;off;private;PD0LK LEEN
2047009;off;private;PD0LKN Fred
2047062;off;private;PD0LKN. Fred
2041181;off;private;PD0LLA Ron
2043084;off;private;PD0LTR Jan
2046073;off;private;PD0LWA Koos
2041025;off;private;PD0LXI Rob
2046022;off;private;PD0MAC Michel
2046043;off;private;PD0MAC. Michel
2048049;off;private;PD0MBY Dirk
2048164;off;private;PD0MDK Klaas
2042302;off;private;PD0MHJ Rudy
2046070;off;private;PD0MHS Toine
2042042;off;private;PD0MOH Frits
2046104;off;private;PD0MR Michiel
2045160;off;private;PD0MVP Jan
2042214;off;private;PD0MZ Wijnand
2044015;off;private;PD0NAH Har
2041160;off;private;PD0NBJ Ronny
2042274;off;private;PD0NLR Jan
2045021;off;private;PD0NME Peter
2047045;off;private;PD0NMO Rob
2042102;off;private;PD0NOB Edu
2042038;off;private;PD0NRH Peter
2042230;off;private;PD0NUD Ron
2048041;off;private;PD0OJJ Willem
2043104;off;private;PD0OKP Erik
2043098;off;private;PD0OM Henry
2041084;off;private;PD0ONJ Willem
2042122;off;private;PD0ORB Eric
2042323;off;private;PD0ORW Rob
2041211;off;private;PD0OSG Wouter
2043048;off;private;PD0OTD Dennis
2046154;off;private;PD0OVQ Henk
2048066;off;private;PD0OYF Roel
2047059;off;private;PD0OZR Hans
2048050;off;private;PD0PBO Peter
2046068;off;private;PD0PDA Martin
2047030;off;private;PD0PDB Ben
2041175;off;private;PD0PHV Robert
2045074;off;private;PD0PJH Martien
2044020;off;private;PD0PKG Gerard
2045150;off;private;PD0PNA Frank
2045091;off;private;PD0PNQ Gerard
2047005;off;private;PD0POH Richard
2047055;off;private;PD0POH. Richard
2046003;off;private;PD0PVL Robert
2046004;off;private;PD0PVL. Robert
2044119;off;private;PD0PVR John
2042303;off;private;PD0PYL Willem
2042004;off;private;PD0R Ruud
2042005;off;private;PD0R. Ruud
2043031;off;private;PD0RAF Raphael
2043144;off;private;PD0RAF. Raphael
2046124;off;private;PD0RB Rene
2042079;off;private;PD0RBI Edwin
2047116;off;private;PD0RBS Richard
2042310;off;private;PD0RCM Ron
2045047;off;private;PD0REM Mike
2042034;off;private;PD0RJI Martin
2042283;off;private;PD0RLS Rene
2042287;off;private;PD0RMQ Klaas
2048062;off;private;PD0RR Adriano
2045048;off;private;PD0RSP Ramon
2046169;off;private;PD0RTS Willem
2046185;off;private;PD0RUD Ronnie
2043128;off;private;PD0RWM Nico
2048067;off;private;PD0RXP Douwe
2047033;off;private;PD0SCS Henk
2048004;off;private;PD0SDO Jan
